timestamp,sport,game_id,game,side,market,bets_pct,money_pct,open_line,current_line,injury_news,key_number_note,dk_start_iso
2025-12-31T06:01:18.114579+00:00,ncaaf,33273928,Alabama @ Indiana,Alabama,splits,38,69,,Alabama @ +200,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273928,Alabama @ Indiana,Indiana -7,splits,49,64,,Indiana -7 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273928,Alabama @ Indiana,Alabama +7,splits,51,36,,Alabama +7 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273928,Alabama @ Indiana,Over 47.5,splits,62,60,,Over 47.5 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273928,Alabama @ Indiana,Under 47.5,splits,38,40,,Under 47.5 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273931,Ole Miss @ Georgia,Georgia,splits,83,93,,Georgia @ -250,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273931,Ole Miss @ Georgia,Ole Miss,splits,17,7,,Ole Miss @ +205,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273931,Ole Miss @ Georgia,Georgia -6.5,splits,75,89,,Georgia -6.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273931,Ole Miss @ Georgia,Ole Miss +6.5,splits,25,11,,Ole Miss +6.5 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273931,Ole Miss @ Georgia,Over 55.5,splits,53,63,,Over 55.5 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273931,Ole Miss @ Georgia,Under 55.5,splits,47,37,,Under 55.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273683,Rice @ Texas State,Texas State,splits,96,68,,Texas State @ -625,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273683,Rice @ Texas State,Rice,splits,4,32,,Rice @ +455,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273683,Rice @ Texas State,Texas State -14.5,splits,63,76,,Texas State -14.5 @ -105,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273683,Rice @ Texas State,Rice +14.5,splits,37,24,,Rice +14.5 @ -115,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273683,Rice @ Texas State,Over 57.5,splits,34,31,,Over 57.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273683,Rice @ Texas State,Under 57.5,splits,66,69,,Under 57.5 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273285,Navy @ Cincinnati,Cincinnati,splits,31,24,,Cincinnati @ +230,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273285,Navy @ Cincinnati,Navy,splits,69,76,,Navy @ -285,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273285,Navy @ Cincinnati,Navy -7,splits,72,90,,Navy -7 @ -112,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273285,Navy @ Cincinnati,Cincinnati +7,splits,28,10,,Cincinnati +7 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273285,Navy @ Cincinnati,Over 54.5,splits,35,92,,Over 54.5 @ -108,,,
2025-12-31T06:01:18.114579+00:00,ncaaf,33273285,Navy @ Cincinnati,Under 54.5,splits,65,8,,Under 54.5 @ -112,,,
2025-12-31T06:07:34.653370+00:00,nba,33372971,GS Warriors @ CHA Hornets,CHA Hornets,splits,17,59,,CHA Hornets @ +230,,,
2025-12-31T06:07:34.653370+00:00,nba,33372971,GS Warriors @ CHA Hornets,GS Warriors,splits,83,41,,GS Warriors @ -285,,,
2025-12-31T06:07:34.653370+00:00,nba,33372971,GS Warriors @ CHA Hornets,GS Warriors -7.5,splits,59,40,,GS Warriors -7.5 @ -102,,,
2025-12-31T06:07:34.653370+00:00,nba,33372971,GS Warriors @ CHA Hornets,CHA Hornets +7.5,splits,41,60,,CHA Hornets +7.5 @ -118,,,
2025-12-31T06:07:34.653370+00:00,nba,33372971,GS Warriors @ CHA Hornets,Over 232.5,splits,72,78,,Over 232.5 @ -115,,,
2025-12-31T06:07:34.653370+00:00,nba,33372971,GS Warriors @ CHA Hornets,Under 232.5,splits,28,22,,Under 232.5 @ -105,,,
2025-12-31T06:07:34.653370+00:00,nba,33372972,MIN Timberwolves @ ATL Hawks,ATL Hawks,splits,24,35,,ATL Hawks @ +150,,,
2025-12-31T06:07:34.653370+00:00,nba,33372972,MIN Timberwolves @ ATL Hawks,MIN Timberwolves,splits,76,65,,MIN Timberwolves @ -180,,,
2025-12-31T06:07:34.653370+00:00,nba,33372972,MIN Timberwolves @ ATL Hawks,MIN Timberwolves -4.5,splits,69,44,,MIN Timberwolves -4.5 @ -108,,,
2025-12-31T06:07:34.653370+00:00,nba,33372972,MIN Timberwolves @ ATL Hawks,ATL Hawks +4.5,splits,31,56,,ATL Hawks +4.5 @ -112,,,
2025-12-31T06:07:34.653370+00:00,nba,33372972,MIN Timberwolves @ ATL Hawks,Over 242.5,splits,60,96,,Over 242.5 @ -115,,,
2025-12-31T06:07:34.653370+00:00,nba,33372972,MIN Timberwolves @ ATL Hawks,Under 242.5,splits,40,4,,Under 242.5 @ -105,,,
