run_label,mode,logged_at_raw,logged_at_utc,since_ny,sport,game_id,game,game_key,market,side,color,is_dark_green_high_underdog,espn_day,final_home,final_home_score,final_away,final_away_score,outcome
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.247486+00:00,2026-01-01T00:28:39.247486+00:00,2025-12-30,ncaab,33383541,Green Bay @ Purdue Fort Wayne,24f162f957aa5597186d3e1ec319b4ef,SPREAD,Green Bay +7.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,UNRESOLVED_TEAM
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:38:23.073568+00:00,2026-01-01T00:38:23.073568+00:00,2025-12-30,ncaab,33383541,Green Bay @ Purdue Fort Wayne,24f162f957aa5597186d3e1ec319b4ef,SPREAD,Green Bay +7.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,UNRESOLVED_TEAM
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:40:29.349023+00:00,2026-01-01T00:40:29.349023+00:00,2025-12-30,ncaab,33383541,Green Bay @ Purdue Fort Wayne,24f162f957aa5597186d3e1ec319b4ef,SPREAD,Green Bay +7.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,UNRESOLVED_TEAM
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:44:42.007682+00:00,2026-01-01T00:44:42.007682+00:00,2025-12-30,ncaab,33383541,Green Bay @ Purdue Fort Wayne,24f162f957aa5597186d3e1ec319b4ef,SPREAD,Green Bay +7.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,UNRESOLVED_TEAM
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.985422+00:00,2026-01-01T00:49:31.985422+00:00,2025-12-30,ncaab,33383541,Green Bay @ Purdue Fort Wayne,24f162f957aa5597186d3e1ec319b4ef,SPREAD,Green Bay +7.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,UNRESOLVED_TEAM
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.675453+00:00,2026-01-01T00:52:49.675453+00:00,2025-12-30,ncaab,33383541,Green Bay @ Purdue Fort Wayne,24f162f957aa5597186d3e1ec319b4ef,SPREAD,Green Bay +7.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,UNRESOLVED_TEAM
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.219598+00:00,2026-01-01T00:28:39.219598+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,MONEYLINE,GS Warriors,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.230682+00:00,2026-01-01T00:28:39.230682+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,TOTAL,Over 235.5,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:38:23.045985+00:00,2026-01-01T00:38:23.045985+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,MONEYLINE,GS Warriors,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:38:23.056532+00:00,2026-01-01T00:38:23.056532+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,TOTAL,Over 235.5,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:40:29.321768+00:00,2026-01-01T00:40:29.321768+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,MONEYLINE,GS Warriors,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:40:29.332313+00:00,2026-01-01T00:40:29.332313+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,TOTAL,Over 235.5,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:44:41.977273+00:00,2026-01-01T00:44:41.977273+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,MONEYLINE,GS Warriors,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:44:41.989219+00:00,2026-01-01T00:44:41.989219+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,TOTAL,Over 235.5,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.957726+00:00,2026-01-01T00:49:31.957726+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,MONEYLINE,GS Warriors,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.968371+00:00,2026-01-01T00:49:31.968371+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,TOTAL,Over 235.5,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.647823+00:00,2026-01-01T00:52:49.647823+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,MONEYLINE,GS Warriors,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.658265+00:00,2026-01-01T00:52:49.658265+00:00,2025-12-30,nba,33372971,GS Warriors @ CHA Hornets,047268ee3a65dc6c981fc3e16e581407,TOTAL,Over 235.5,YELLOW,False,20251231,Charlotte Hornets,125,Golden State Warriors,132,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.220087+00:00,2026-01-01T00:28:39.220087+00:00,2025-12-30,ncaaf,33273680,Iowa @ Vanderbilt,e25618fd3d51dbb9712ee84170e8912b,MONEYLINE,Vanderbilt,RED,False,20251230,Vanderbilt Commodores,27,Iowa Hawkeyes,34,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:38:23.046455+00:00,2026-01-01T00:38:23.046455+00:00,2025-12-30,ncaaf,33273680,Iowa @ Vanderbilt,e25618fd3d51dbb9712ee84170e8912b,MONEYLINE,Vanderbilt,RED,False,20251230,Vanderbilt Commodores,27,Iowa Hawkeyes,34,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:40:29.322238+00:00,2026-01-01T00:40:29.322238+00:00,2025-12-30,ncaaf,33273680,Iowa @ Vanderbilt,e25618fd3d51dbb9712ee84170e8912b,MONEYLINE,Vanderbilt,RED,False,20251230,Vanderbilt Commodores,27,Iowa Hawkeyes,34,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:44:41.977822+00:00,2026-01-01T00:44:41.977822+00:00,2025-12-30,ncaaf,33273680,Iowa @ Vanderbilt,e25618fd3d51dbb9712ee84170e8912b,MONEYLINE,Vanderbilt,RED,False,20251230,Vanderbilt Commodores,27,Iowa Hawkeyes,34,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:49:31.958235+00:00,2026-01-01T00:49:31.958235+00:00,2025-12-30,ncaaf,33273680,Iowa @ Vanderbilt,e25618fd3d51dbb9712ee84170e8912b,MONEYLINE,Vanderbilt,RED,False,20251230,Vanderbilt Commodores,27,Iowa Hawkeyes,34,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:52:49.648295+00:00,2026-01-01T00:52:49.648295+00:00,2025-12-30,ncaaf,33273680,Iowa @ Vanderbilt,e25618fd3d51dbb9712ee84170e8912b,MONEYLINE,Vanderbilt,RED,False,20251230,Vanderbilt Commodores,27,Iowa Hawkeyes,34,LOSS
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.239573+00:00,2026-01-01T00:28:39.239573+00:00,2025-12-30,ncaab,33383540,IU Indianapolis @ Northern Kentucky,119de5c81cb5db58df3041ead8733667,TOTAL,Over 177.5,LIGHT_GREEN,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,WIN
HISTORICAL_BACKFILL_BASELINE,HISTORICAL_BACKFILL,2026-01-01 00:28:39.239885+00:00,2026-01-01T00:28:39.239885+00:00,2025-12-30,ncaab,33383540,IU Indianapolis @ Northern Kentucky,119de5c81cb5db58df3041ead8733667,TOTAL,Under 177.5,RED,False,20251230,San Diego Toreros,93,Gonzaga Bulldogs,99,LOSS
