logged_at_utc,logic_version,sport,game_id,game,market,side,color
2026-01-01T00:52:49.647823+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,MONEYLINE,GS Warriors,YELLOW
2026-01-01T00:52:49.658265+00:00,v0.1,nba,33372971,GS Warriors @ CHA Hornets,TOTAL,Over 235.5,YELLOW
2026-01-01T00:28:39.226521+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,MONEYLINE,HOU Texans,RED
2026-01-01T00:28:39.236587+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:38:23.052288+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,MONEYLINE,HOU Texans,RED
2026-01-01T00:38:23.062403+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:40:29.327773+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,MONEYLINE,HOU Texans,RED
2026-01-01T00:40:29.338114+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:44:41.984666+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,MONEYLINE,HOU Texans,RED
2026-01-01T00:44:41.995609+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:49:31.963909+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,MONEYLINE,HOU Texans,RED
2026-01-01T00:49:31.974225+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:52:49.653994+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,MONEYLINE,HOU Texans,RED
2026-01-01T00:52:49.664302+00:00,v0.1,nfl,32225622,IND Colts @ HOU Texans,TOTAL,Under 38.5,LIGHT_GREEN
2026-01-01T00:28:39.220087+00:00,v0.1,ncaaf,33273680,Iowa @ Vanderbilt,MONEYLINE,Vanderbilt,RED
2026-01-01T00:38:23.046455+00:00,v0.1,ncaaf,33273680,Iowa @ Vanderbilt,MONEYLINE,Vanderbilt,RED
2026-01-01T00:40:29.322238+00:00,v0.1,ncaaf,33273680,Iowa @ Vanderbilt,MONEYLINE,Vanderbilt,RED
2026-01-01T00:44:41.977822+00:00,v0.1,ncaaf,33273680,Iowa @ Vanderbilt,MONEYLINE,Vanderbilt,RED
2026-01-01T00:49:31.958235+00:00,v0.1,ncaaf,33273680,Iowa @ Vanderbilt,MONEYLINE,Vanderbilt,RED
